entity_type,entity_name,cited_doc_count,non_cited_doc_count,cited_coverage_rate,non_cited_coverage_rate,coverage_lift,cited_total_mentions,non_cited_total_mentions,avg_salience_cited,avg_salience_non_cited
DATE,2030,0,1,0.0,0.0233,0.0,0,2,0.0,0.0
DATE,"March 17, 2026",0,2,0.0,0.0465,0.0,0,2,0.0,0.0
DATE,2025-11-01T10:51:28-07:00,0,1,0.0,0.0233,0.0,0,2,0.0,0.0
DATE,"June 3, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"May 30, 2025",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
DATE,"June 18, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"July 4, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"May 31, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 22, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Dec 9, 2024",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,2020,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 26, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"August 7, 2024",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 4, 2025",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
DATE,2023,0,5,0.0,0.1163,0.0,0,8,0.0,0.0
DATE,2013,0,2,0.0,0.0465,0.0,0,2,0.0,0.0
DATE,"Jun 20, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"April 26, 2026",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"February 7, 2024",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 2, 2025",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
DATE,"January 26, 2026",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"October 12, 2017 at 2:52 am",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"April 13, 2026 12:21 pm",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"March 7, 2017",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"July 14, 2025",0,1,0.0,0.0233,0.0,0,8,0.0,0.0
DATE,"Mar 11, 2026",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
